84,49
84,47
84,51
84,45
84,53
84,54
83,45
82,45
81,45
85,45
86,45
87,45
87,44
87,43
86,43
88,43
81,44
81,43
80,43
82,43
86,41
86,40
86,39
86,38
86,37
82,41
82,40
82,39
82,38
82,37
81,37
80,37
79,38
87,37
88,37
89,38
83,47
81,47
80,47
82,47
80,46
79,47
85,47
86,47
87,47
88,47
88,46
89,47
79,49
80,49
81,49
82,49
83,49
85,49
86,49
87,49
88,49
89,49
79,51
80,51
81,51
82,51
83,51
85,51
86,51
87,51
88,51
89,51
79,52
81,53
80,53
82,53
83,53
85,53
87,53
86,53
88,53
89,52
80,55
81,55
82,55
82,56
86,56
86,55
87,55
88,55
82,58
82,59
82,60
82,61
83,58
83,59
86,58
86,59
86,60
86,61
85,58
85,59
81,61
81,62
81,58
81,59
80,60
80,61
83,60
85,60
87,59
87,58
88,60
88,61
87,61
87,62
90,49
90,50
91,49
92,49
92,50
78,50
78,49
77,49
76,49
76,50
93,49
93,48
94,48
93,46
94,46
94,47
95,47
75,49
75,48
74,48
74,47
73,47
74,46
75,46
97,46
96,45
96,44
96,43
97,42
99,47
100,46
101,46
102,45
102,44
102,43
101,42
100,42
99,41
104,46
107,46
104,48
105,49
108,47
107,49
108,49
108,48
106,49
104,42
104,40
107,42
105,39
108,41
106,39
107,39
108,39
108,40
71,46
72,45
72,44
72,43
71,42
62,49
61,49
60,49
69,41
68,42
67,42
66,43
66,44
66,45
69,47
68,46
67,46
64,42
64,46
64,40
61,42
63,39
62,39
61,39
60,39
60,40
60,41
61,46
64,48
63,49
60,47
60,48
